timestamp,ball_roll.position,roll_joint.position
13318485278880,0.0822950981600711,-0.127892652133739
13318506244128,0.0785031687627262,-0.117205719574387
13318526088224,0.0709143911014873,-0.107115002204077
13318545256448,0.0672868920980495,-0.096829915686083
13318566701280,0.0600564031249691,-0.0875013201183478
13318587035488,0.0566939739358927,-0.0824009089000337
13318607709376,0.049741233653489,-0.0693216254439502
13318627189408,0.0464929922388699,-0.0649953202531165
13318646975456,0.0400839547470075,-0.0533372909694025
13318671683200,0.0340119591268206,-0.0460186746225126
13318686960512,0.0279937577975121,-0.0395277188081489
13318702893920,0.0251910527883746,-0.0329723477849188
13318723348672,0.0196647609360597,-0.0274670944690206
13318743213376,0.0143888646513539,-0.0224906450770713
13318764796384,0.0117967892956712,-0.0182602136854804
13318784739840,0.009376235111899,-0.014287817636383
13318804895456,0.0046360424105097,-0.0106165252380327
13318833350400,0.0002581499321838,-0.0073897726822654
13318843100576,-0.0018533345212743,-0.0046091516239515
13318864831872,-0.0057279497285662,-0.0024073311778635
13318884845312,-0.0093616185749889,-0.0009533544538968
13318904434240,-0.0110999725654565,-0.0002117369111208
13318926979328,-0.0141940390404415,-2.30321822399819E-05
13318945709504,-0.0156717569643686,-0.0003974923971538
13318968275392,-0.0183004632838536,-0.0009853748048158
13318987946080,-0.0194916104067491,-0.0015468076536046
13319006135680,-0.0215181483691907,-0.0023795708443913
13319027634912,-0.0231521782183543,-0.0029418931473723
13319048091360,-0.0237981155031286,-0.0033690184131398
13319065084128,-0.0247921792323074,-0.0037307922024702
13319083027008,-0.0253662852155191,-0.004000109569191
13319102855232,-0.0255134477895193,-0.0042423219897391
13319124995392,-0.0254544877550691,-0.0043187214235108
13319147655552,-0.0252721775141029,-0.0044308862784843
13319168086944,-0.024582306901516,-0.0044481604151643
13319185474976,-0.0235180113560674,-0.0044296223172638
13319203457184,-0.0228334450856282,-0.004405466613939
13319225901152,-0.0212085764257131,-0.0044047175998824
13319245635392,-0.0202584058744135,-0.0044406702745985
13319268103584,-0.0181122109537139,-0.0044990465576335
13319284292000,-0.0156626118595763,-0.0045959502512042
13319306713984,-0.0143322813868084,-0.0047600311429748
13319324368608,-0.0114581061005451,-0.0050296293899668
13319343474272,-0.009936691608376,-0.0054056344463723
13319362878912,-0.0067339854177813,-0.0058850034425866
13319383118720,-0.0033571416073029,-0.0064550031396476
13319404959424,-0.0016042812224478,-0.0071040238196784
13319425684480,0.0019862783527629,-0.0077698973159822
